game_id,format,player_id,player_rating,opening_name,book_moves,turns,result,rating_difference
aF6DiZZe,Rapid,azcatdave,1854,Paleface Attack,3,40,Lost,5
0dm3RaQv,Rapid,fikr,1895,Sicilian Defense,4,105,Won,36
BxxAvvER,Rapid,isachess,1866,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6,50,Lost,-99
oaKcGCrO,Rapid,isachess,1877,Ruy Lopez: Bird Variation,6,69,Lost,17
xMezmOBz,Blitz,edil1800,1849,Sicilian Defense: Najdorf Variation |  Adams Attack,11,77,Won,-25
46AuHfcq,Blitz,humb,1835,Blumenfeld Countergambit #2,6,158,Lost,-30
A7ddojjI,Rapid,isachess,1866,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7,107,Draw,31
SGqoxO3v,Rapid,isachess,1856,Ruy Lopez: Morphy Defense #2,12,117,Won,27
pHJ5zXyE,Rapid,isachess,1845,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8,44,Won,-1
WqMvA7iE,Rapid,seetripuu,1834,Sicilian Defense: Old Sicilian,4,40,Lost,-1
s3v6jMaX,Rapid,seif22,1846,Caro-Kann Defense,2,59,Won,1
PHYPEO42,Rapid,isachess,1858,Scandinavian Defense: Mieses-Kotroc Variation,4,30,Lost,68
NgZ8xxFe,Rapid,nespil,1871,Sicilian Defense: Old Sicilian,4,54,Lost,24
1ZeBVc5V,Rapid,isachess,1846,Philidor Defense,5,69,Lost,-23
OmwDxZpJ,Rapid,sergeylobanov,1843,Sicilian Defense: Alapin Variation,3,178,Lost,7
JewxmuG9,Rapid,clown_with_a_knife,1800,Sicilian Defense,2,136,Lost,-26
t7vvcwqO,Rapid,phileasfrog,1290,Hungarian Opening,1,96,Lost,20
igSDFKv0,Rapid,patrizio67,1331,Queen's Pawn Game #3,4,53,Won,50
facMwkUo,Rapid,piroz_xucestih,1304,Van't Kruijs Opening,1,39,Won,12
j5KY62yS,Rapid,taranga,1305,French Defense: Normal Variation,3,10,Lost,12
nyYULwUl,Rapid,lelik3310,1308,Center Game: Berger Variation,8,51,Won,-9
h0YsGMhj,Rapid,cesar1945,1296,Italian Game: Giuoco Piano |  Greco's Attack,13,18,Lost,-9
UvqLtnPM,Blitz,xapoh,1500,Ruy Lopez: Exchange Variation,7,59,Won,201
1b0kpInt,Blitz,taranga,1288,Caro-Kann Defense,3,111,Won,56
dJEtAQp7,Blitz,taranga,1289,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9,28,Lost,-819
