id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
ncuHKIQF,Rapid,resign,3,French Defense: Steinitz Attack,white,41,davidc87,1407,peterpan88,1500
1olrd1FQ,Rapid,mate,6,Ruy Lopez: Berlin Defense #2,black,42,tonidamigo,1446,davidc87,1364
N8BEsFIy,Rapid,resign,5,Center Game,black,21,davidc87,1398,tonidamigo,1436
Hyp0AZpA,Rapid,mate,6,Three Knights Opening #2,white,33,orloff82,1418,davidc87,1443
FWpWyRH4,Rapid,mate,4,Bishop's Opening: Berlin Defense,white,51,volodyakedr,1443,davidc87,1499
v6GYT7EO,Rapid,mate,4,Queen's Gambit Refused: Austrian Defense,black,56,akssada,1288,davidc87,1470
5fgvTyw9,Rapid,mate,5,Russian Game: Three Knights Game,white,37,davidc87,1431,akssada,1295
gvaZQiqS,Rapid,resign,2,Mikenas Defense,white,35,davidc87,1358,seethruwurmholes,1367
rLsvy8P2,Rapid,mate,5,Vienna Game: Stanley Variation,black,86,karim85,1289,davidc87,1260
JyUeznff,Rapid,mate,4,Queen's Pawn Game: Chigorin Variation,black,34,davidc87,1279,paolomath,1716
JidILpa0,Rapid,outoftime,5,Center Game,black,40,davidc87,1336,vinoth,1563
xMxtUv98,Rapid,mate,3,King's Pawn Game: Mengarini's Opening,black,54,davidc87,1347,lasker50,1938
jp1CCAiI,Rapid,outoftime,3,French Defense: Steinitz Attack,black,32,davidc87,1500,naderat65,1549
JvaAXwsj,Classical,resign,1,Van't Kruijs Opening,black,60,braneee,1250,engcondor,1208
bTl9McXe,Blitz,resign,6,Center Game: Normal Variation,black,12,engcondor,1213,lesnik1,1599
Cvqy9r2Z,Rapid,resign,5,Scotch Game,white,15,dinumau,1626,engcondor,1217
ybmyI41z,Classical,resign,8,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,white,17,zbakov,1700,engcondor,1220
brRIdRzh,Rapid,resign,5,Scotch Game,white,87,rbfbr,1937,engcondor,1221
5wbwJLj1,Blitz,resign,7,Italian Game: Two Knights Defense |  Modern Bishop's Opening,white,29,atz,1596,engcondor,1229
nTMzwDzA,Rapid,resign,4,Scandinavian Defense: Mieses-Kotroc Variation,white,25,zamuradnisa,1508,engcondor,1237
V8E1hVAZ,Rapid,resign,5,Italian Game,white,27,brancaleonenorcia,1393,engcondor,1251
tLsTP8ca,Blitz,resign,3,Bishop's Opening,white,41,juanpa07,1512,engcondor,1261
Jl9LoR40,Rapid,resign,3,King's Pawn Game: Wayward Queen Attack,black,33,engcondor,1266,mamontidla,1669
BnNlw0f4,Blitz,outoftime,3,King's Pawn Game: Leonardis Variation,white,59,gallero2015,1426,engcondor,1282
YPC0Txsk,Blitz,mate,3,Center Game #2,white,23,akao,1625,engcondor,1289
GeoJoFs0,Rapid,mate,6,Ruy Lopez: Spanish Countergambit,white,17,ascarllsiul,1502,engcondor,1302
ARXqvyOE,Rapid,mate,7,French Defense: Winawer Variation |  Advance Variation,black,46,engcondor,1330,masterkordkuy,1340
eqQGtFvl,Blitz,resign,4,King's Pawn Game: Maroczy Defense,black,26,engcondor,1350,mavrincbor,1765
CNaHFyod,Blitz,mate,3,King's Pawn Game: Leonardis Variation,black,76,mironi,1640,engcondor,1290
4c4rhxXO,Classical,resign,3,King's Pawn Game: Wayward Queen Attack,white,87,piotr1967,1443,engcondor,1313
OzJtdamz,Rapid,resign,4,Scandinavian Defense: Mieses-Kotroc Variation,white,89,bakkara,1847,engcondor,1287
3VvXk4L1,Blitz,resign,4,Elephant Gambit,white,43,asskicker135,1636,engcondor,1298
iSKk4ckr,Blitz,resign,3,King's Pawn Game: Leonardis Variation,white,29,guppless,1457,engcondor,1327
5KMMpLTO,Classical,resign,1,Polish Opening,black,50,odnoselchanin,1289,engcondor,1275
9DB1TnYy,Classical,mate,2,Caro-Kann Defense,white,39,engcondor,1189,razelanout,1410
QoezbVcW,Rapid,mate,2,Nimzowitsch Defense,white,25,montecristo,1505,chases,1229
tBWeqmw2,Classical,resign,2,Zukertort Opening: Slav Invitation,white,15,chases,1161,baytalmaqdis,1244
rxLOMyUo,Classical,mate,3,King's Gambit,white,21,smederevac,2022,chases,1162
lhxpRhu6,Rapid,resign,1,King's Pawn,white,17,sr1340,1465,chases,1189
kPXm1yCq,Bullet,mate,2,Nimzo-Larsen Attack: English Variation,white,45,ze_cat,1292,inserthere,1422
59ff4N6H,Rapid,mate,8,Sicilian Defense: Godiva Variation,white,71,yht,2054,avojan,1977
